epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,0.560999,0.83506,0.4,1,0.7582,3.334e-05,3.334e-05,3.334e-05
2,1.34058,0.78252,0.4,1,0.76043,8.16997e-05,8.16997e-05,8.16997e-05
3,1.86398,0.71781,0.33333,1,0.71871,0.000128079,0.000128079,0.000128079
4,2.31447,0.62772,0.53333,1,0.65662,0.000172478,0.000172478,0.000172478
5,2.74725,0.52136,0.73333,1,0.57715,0.000214896,0.000214896,0.000214896
6,3.17153,0.4515,0.66667,1,0.52241,0.000255334,0.000255334,0.000255334
7,3.62982,0.42182,0.8,1,0.43561,0.000293792,0.000293792,0.000293792
8,4.05144,0.44997,0.8,1,0.39197,0.000330269,0.000330269,0.000330269
9,4.48579,0.39974,0.93333,1,0.32035,0.000364766,0.000364766,0.000364766
10,4.88208,0.36628,1,1,0.2851,0.000397283,0.000397283,0.000397283
11,5.31231,0.42269,1,1,0.22028,0.000427819,0.000427819,0.000427819
12,5.75235,0.30185,1,1,0.19038,0.000456375,0.000456375,0.000456375
13,6.19233,0.30744,1,1,0.15453,0.00048295,0.00048295,0.00048295
14,6.59816,0.21478,1,1,0.14313,0.000507545,0.000507545,0.000507545
15,7.04365,0.27233,1,1,0.11741,0.000530159,0.000530159,0.000530159
16,7.47467,0.34888,1,1,0.11183,0.000550793,0.000550793,0.000550793
17,7.90895,0.26122,1,1,0.09635,0.000569447,0.000569447,0.000569447
18,8.34033,0.26328,1,1,0.08346,0.000586121,0.000586121,0.000586121
19,8.76863,0.18613,1,1,0.07433,0.000600813,0.000600813,0.000600813
20,9.18135,0.24526,1,1,0.06185,0.000613526,0.000613526,0.000613526
21,9.61972,0.26517,1,1,0.05036,0.000624258,0.000624258,0.000624258
22,10.0661,0.15471,1,1,0.04362,0.00063301,0.00063301,0.00063301
23,10.4998,0.11805,1,1,0.04235,0.000639781,0.000639781,0.000639781
24,10.9142,0.12314,1,1,0.04461,0.000644572,0.000644572,0.000644572
25,11.3448,0.23061,1,1,0.03933,0.000647383,0.000647383,0.000647383
26,11.7644,0.16221,1,1,0.02674,0.000648213,0.000648213,0.000648213
27,12.2037,0.17628,1,1,0.01637,0.000647063,0.000647063,0.000647063
28,12.6249,0.06363,1,1,0.01073,0.000643932,0.000643932,0.000643932
29,13.046,0.12761,1,1,0.01073,0.000638821,0.000638821,0.000638821
30,13.4845,0.0477,1,1,0.00912,0.00063173,0.00063173,0.00063173
31,13.9814,0.09332,1,1,0.01059,0.000622658,0.000622658,0.000622658
32,14.4084,0.05746,1,1,0.01271,0.000611606,0.000611606,0.000611606
33,14.8403,0.0638,1,1,0.01271,0.000598573,0.000598573,0.000598573
34,15.2694,0.15338,1,1,0.0104,0.000577782,0.000577782,0.000577782
35,15.7014,0.15733,1,1,0.00582,0.000544776,0.000544776,0.000544776
36,16.1439,0.12106,1,1,0.00618,0.000511769,0.000511769,0.000511769
37,16.5634,0.03934,1,1,0.00618,0.000478762,0.000478762,0.000478762
38,16.9832,0.11557,1,1,0.00551,0.000445756,0.000445756,0.000445756
39,17.4176,0.03105,1,1,0.00578,0.000412749,0.000412749,0.000412749
40,17.8347,0.09313,1,1,0.005,0.000379743,0.000379743,0.000379743
41,18.2463,0.023,1,1,0.005,0.000346736,0.000346736,0.000346736
42,18.677,0.09497,1,1,0.00493,0.000313729,0.000313729,0.000313729
43,19.1171,0.17708,1,1,0.00418,0.000280723,0.000280723,0.000280723
44,19.546,0.06936,1,1,0.0032,0.000247716,0.000247716,0.000247716
45,19.983,0.08189,1,1,0.0032,0.00021471,0.00021471,0.00021471
46,20.4034,0.11793,1,1,0.00319,0.000181703,0.000181703,0.000181703
47,20.8493,0.14814,1,1,0.00334,0.000148696,0.000148696,0.000148696
48,21.2685,0.08171,1,1,0.00312,0.00011569,0.00011569,0.00011569
49,21.6767,0.03885,1,1,0.00312,8.26832e-05,8.26832e-05,8.26832e-05
50,22.1107,0.09865,1,1,0.00279,4.96766e-05,4.96766e-05,4.96766e-05
